sample	sex	biosample	population	population_name	superpopulation	superpopulation_name
SC_GMFUL5306412	female		GWF	Gambian Fula	AFR	African Ancestry
HGDP00774	male			Han		East Asia 
HGDP01028	male	SAMEA3302727		Bantu Herero		Africa 
SC_GMJOL5309971	male		GWJ	Gambian Jola	AFR	African Ancestry
HGDP00779	male			Han		East Asia 
HGDP00208	male	SAMEA3302815		Sindhi		South Asia 
SC_GMJOL5309940	male		GWJ	Gambian Jola	AFR	African Ancestry
HGDP00781	female			Han		East Asia 
IraqiJew1771	female	SAMEA3302747		Iraqi Jew		West Eurasia 
SC_GMJOL5309964	female		GWJ	Gambian Jola	AFR	African Ancestry
HGDP00786	male			Han		East Asia 
Nesk_25	female	SAMEA3302856		Eskimo Naukan		Central Asia and Siberia 
SC_GMFUL5309764	female		GWF	Gambian Fula	AFR	African Ancestry
HGDP00926	female			Yoruba		Africa 
NA21490	male	SAMEA3302814	MKK	Masai		Africa 
SC_GMFUL5306392	male		GWF	Gambian Fula	AFR	African Ancestry
HGDP00933	female			Yoruba		Africa 
HGDP01078	female	SAMEA3302813		Sardinian		West Eurasia 
SC_GMFUL5306400	male		GWF	Gambian Fula	AFR	African Ancestry
HGDP00938	female			Yoruba		Africa 
HGDP01035	male	SAMEA3302869		Bantu Herero		Africa 
SC_GMFUL5309733	male		GWF	Gambian Fula	AFR	African Ancestry
HGDP00940	male			Yoruba		Africa 
SA0722	female	SAMEA3302800		Khomani San		Africa 
SC_GMFUL5306424	male		GWF	Gambian Fula	AFR	African Ancestry
HGDP00945	male			Yakut		East Asia 
Nlk3	female	SAMEA3302720		Even		Central Asia and Siberia 
SC_GMFUL5306361	female		GWF	Gambian Fula	AFR	African Ancestry
HGDP01037	male			Pima		America 
mg27	male	SAMEA3302808		Georgian		West Eurasia 
SC_GMFUL5309702	female		GWF	Gambian Fula	AFR	African Ancestry
HGDP01051	female			Pima		America 
ALB212	female	SAMEA3302780		Albanian		West Eurasia 
SC_GMFUL5306385	female		GWF	Gambian Fula	AFR	African Ancestry
HGDP01056	female			Pima		America 
HGDP01403	male			Adygei		Europe 
SC_GMJOL5309933	female		GWJ	Gambian Jola	AFR	African Ancestry
HGDP01063	male			Sardinian		Europe 
HGDP01408	male			Bantu Kenya		Africa 
SC_GMJOL5309957	female		GWJ	Gambian Jola	AFR	African Ancestry
HGDP00806	female			Orcadian		Europe 
HGDP01415	male			Bantu Kenya		Africa 
SC_GMJOL5309926	male		GWJ	Gambian Jola	AFR	African Ancestry
HGDP00813	female			Han		East Asia 
HGDP01333	male	SAMEA3302817		She		East Asia 
SC_GMJOL5309919	male		GWJ	Gambian Jola	AFR	African Ancestry
HGDP00818	female			Han		East Asia 
HGDP00157	female	SAMEA3302616		Makrani		South Asia 
SC_GMJOL5309983	female		GWJ	Gambian Jola	AFR	African Ancestry
HGDP00820	female			Han		East Asia 
HGDP01338	male	SAMEA3302888		Naxi		East Asia 
SC_GMJOL5309952	male		GWJ	Gambian Jola	AFR	African Ancestry
HGDP00870	female			Maya		America 
SAH41	male	SAMEA3302694		Saharawi		Africa 
SC_GMJOL5309976	male		GWJ	Gambian Jola	AFR	African Ancestry
HGDP00875	female			Maya		America 
